a3_score,frequency,pdf,cdf
0.0,14,0.2028985507246377,0.2028985507246377
0.3333333333333333,1,0.014492753623188406,0.2173913043478261
0.4375,1,0.014492753623188406,0.23188405797101452
0.4666666666666667,1,0.014492753623188406,0.24637681159420294
0.4827586206896552,1,0.014492753623188406,0.26086956521739135
0.5161290322580645,1,0.014492753623188406,0.27536231884057977
0.5333333333333333,1,0.014492753623188406,0.2898550724637682
0.5882352941176471,1,0.014492753623188406,0.3043478260869566
0.6086956521739131,1,0.014492753623188406,0.318840579710145
0.6206896551724138,1,0.014492753623188406,0.3333333333333334
0.6451612903225806,2,0.028985507246376812,0.36231884057971026
0.6666666666666666,3,0.043478260869565216,0.4057971014492755
0.6875,1,0.014492753623188406,0.4202898550724639
0.6896551724137931,1,0.014492753623188406,0.43478260869565233
0.6956521739130435,1,0.014492753623188406,0.44927536231884074
0.7096774193548387,1,0.014492753623188406,0.46376811594202916
0.7333333333333333,2,0.028985507246376812,0.492753623188406
0.75,2,0.028985507246376812,0.5217391304347828
0.7692307692307693,1,0.014492753623188406,0.5362318840579712
0.7741935483870968,1,0.014492753623188406,0.5507246376811595
0.7857142857142857,1,0.014492753623188406,0.5652173913043479
0.8108108108108109,1,0.014492753623188406,0.5797101449275363
0.8461538461538461,2,0.028985507246376812,0.6086956521739131
0.8823529411764706,3,0.043478260869565216,0.6521739130434783
0.9032258064516129,1,0.014492753623188406,0.6666666666666666
0.9333333333333333,1,0.014492753623188406,0.681159420289855
0.967741935483871,6,0.08695652173913043,0.7681159420289854
1.0,16,0.2318840579710145,0.9999999999999999
